elapsed_s,pid,raw,bytes
80.366,223018,"7F2231",ERR
80.423,2210A8,"6210A848",0x48(72)
80.482,22101F,"7F2231",ERR
80.528,2210B0,"6210B028",0x28(40)
81.109,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
81.165,223050,"7F2231",ERR
81.222,22309A,"7F2231",ERR
82.255,221022,"62102200",0x00(0)
82.308,2210A6,"6210A600",0x00(0)
82.364,223018,"7F2231",ERR
82.426,2210A8,"6210A848",0x48(72)
82.488,22101F,"7F2231",ERR
82.545,2210B0,"6210B028",0x28(40)
83.701,221022,"62102200",0x00(0)
83.764,2210A6,"6210A600",0x00(0)
83.816,223018,"7F2231",ERR
83.876,2210A8,"6210A800",0x00(0)
83.924,22101F,"7F2231",ERR
83.981,2210B0,"6210B09C",0x9C(156)
84.313,2210B1,"6210B100",0x00(0)
84.903,221022,"62102200",0x00(0)
85.125,2210A6,"6210A600",0x00(0)
85.315,223018,"7F2231",ERR
85.385,2210A8,"6210A800",0x00(0)
85.436,22101F,"7F2231",ERR
85.488,2210B0,"6210B09B",0x9B(155)
86.146,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
86.199,223050,"7F2231",ERR
86.255,22309A,"7F2231",ERR
86.813,221022,"62102200",0x00(0)
86.961,2210A6,"6210A600",0x00(0)
87.163,223018,"7F2231",ERR
87.300,2210A8,"6210A847",0x47(71)
87.361,22101F,"7F2231",ERR
87.418,2210B0,"6210B09D",0x9D(157)
88.206,221022,"62102200",0x00(0)
88.261,2210A6,"6210A600",0x00(0)
88.318,223018,"7F2231",ERR
88.373,2210A8,"6210A800",0x00(0)
88.420,22101F,"7F2231",ERR
88.479,2210B0,"6210B09D",0x9D(157)
89.597,221022,"62102200",0x00(0)
89.650,2210A6,"6210A600",0x00(0)
89.704,223018,"7F2231",ERR
89.757,2210A8,"6210A800",0x00(0)
89.851,22101F,"7F2231",ERR
89.900,2210B0,"6210B09D",0x9D(157)
89.952,2210B1,"6210B100",0x00(0)
91.054,221022,"62102200",0x00(0)
91.120,2210A6,"6210A611",0x11(17)
91.179,223018,"7F2231",ERR
91.235,2210A8,"6210A847",0x47(71)
91.294,22101F,"7F2231",ERR
91.354,2210B0,"6210B09D",0x9D(157)
91.786,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
91.848,223050,"7F2231",ERR
91.902,22309A,"7F2231",ERR
93.053,221022,"62102200",0x00(0)
93.107,2210A6,"6210A605",0x05(5)
93.166,223018,"7F2231",ERR
93.223,2210A8,"6210A848",0x48(72)
93.283,22101F,"7F2231",ERR
93.354,2210B0,"6210B02B",0x2B(43)
94.209,221022,"62102200",0x00(0)
94.269,2210A6,"6210A60A",0x0A(10)
94.432,223018,"7F2231",ERR
94.601,2210A8,"6210A800",0x00(0)
94.695,22101F,"7F2231",ERR
94.748,2210B0,"6210B02B",0x2B(43)
94.970,2210B1,"6210B100",0x00(0)
95.691,221022,"62102200",0x00(0)
95.746,2210A6,"6210A600",0x00(0)
95.796,223018,"7F22314700",ERR
95.848,2210A8,"6210A800",0x00(0)
95.896,22101F,"7F2231",ERR
96.074,2210B0,"6210B028",0x28(40)
96.835,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
96.893,223050,"7F2231",ERR
96.951,22309A,"7F2231",ERR
97.646,221022,"62102200",0x00(0)
97.713,2210A6,"6210A609",0x09(9)
97.765,223018,"7F2231",ERR
97.811,2210A8,"6210A847",0x47(71)
97.874,22101F,"7F2231",ERR
97.923,2210B0,"6210B028",0x28(40)
99.040,221022,"62102200",0x00(0)
