elapsed_s,pid,raw,bytes
1.222,2210A8,"6210A800",0x00(0)
1.289,2210B0,"6210B027",0x27(39)
1.368,2210B9,"6210B915",0x15(21)
1.825,2210D2,"6210D26B",0x6B(107)
1.876,221093,"62109304",0x04(4)
1.932,221095,"62109520",0x20(32)
3.693,2210A8,"?",ERR
3.714,2210B0,"6210A800STOPPED",ERR
3.715,2210B9,"",ERR
4.756,2210A8,"6210A841",0x41(65)
4.805,2210B0,"6210B027",0x27(39)
4.864,2210B9,"6210B915",0x15(21)
5.114,2210B1,"6210B100",0x00(0)
5.166,2210C1,"6210C12F",0x2F(47)
5.228,2210B4,"6210B41D",0x1D(29)
6.139,2210A8,"6210A800",0x00(0)
6.197,2210B0,"6210B027",0x27(39)
6.260,2210B9,"6210B915",0x15(21)
6.912,2210D2,"6210D26B",0x6B(107)
6.965,221093,"62109304",0x04(4)
7.025,221095,"62109520",0x20(32)
8.450,2210A8,"6210A800",0x00(0)
8.545,2210B0,"6210B027",0x27(39)
8.625,2210B9,"6210B915",0x15(21)
9.565,2210A8,"6210A841",0x41(65)
9.627,2210B0,"6210B027",0x27(39)
9.697,2210B9,"6210B915",0x15(21)
10.048,2210B1,"6210B100",0x00(0)
10.108,2210C1,"6210C12F",0x2F(47)
10.162,2210B4,"6210B41D",0x1D(29)
10.750,2210A8,"6210A841",0x41(65)
10.808,2210B0,"6210B027",0x27(39)
10.857,2210B9,"6210B915",0x15(21)
11.590,2210D2,"6210D26B",0x6B(107)
11.640,221093,"62109304",0x04(4)
11.692,221095,"62109520",0x20(32)
12.449,2210A8,"6210A800",0x00(0)
12.505,2210B0,"6210B027",0x27(39)
12.557,2210B9,"6210B915",0x15(21)
13.457,2210A8,"6210A800",0x00(0)
13.511,2210B0,"6210B027",0x27(39)
13.706,2210B9,"6210B915",0x15(21)
15.308,2210A8,"6210A800",0x00(0)
15.364,2210B0,"6210B027",0x27(39)
15.425,2210B9,"6210B915",0x15(21)
15.481,2210B1,"6210B100",0x00(0)
15.544,2210C1,"6210C12F",0x2F(47)
15.749,2210B4,"6210B41E",0x1E(30)
16.613,2210A8,"6210A800",0x00(0)
16.666,2210B0,"6210B027",0x27(39)
16.732,2210B9,"6210B915",0x15(21)
17.211,2210D2,"6210D26B",0x6B(107)
17.346,221093,"62109304",0x04(4)
17.644,221095,"62109520",0x20(32)
18.545,2210A8,"6210A841",0x41(65)
18.605,2210B0,"6210B027",0x27(39)
18.691,2210B9,"6210B915",0x15(21)
19.754,2210A8,"6210A840",0x40(64)
19.812,2210B0,"6210B027",0x27(39)
20.047,2210B9,"6210B915",0x15(21)
20.536,2210B1,"OK",ERR
20.767,2210C1,"6210B100STOPPED",ERR
20.825,2210B4,"6210B41E",0x1E(30)
21.868,2210A8,"6210A841",0x41(65)
21.924,2210B0,"6210B027",0x27(39)
21.969,2210B9,"6210B915",0x15(21)
22.567,2210D2,"6210D26B",0x6B(107)
22.620,221093,"62109304",0x04(4)
22.666,221095,"62109520",0x20(32)
23.683,2210A8,"6210A841",0x41(65)
23.775,2210B0,"6210B027",0x27(39)
23.828,2210B9,"6210B913",0x13(19)
24.626,2210A8,"6210A800",0x00(0)
24.694,2210B0,"6210B027",0x27(39)
24.742,2210B9,"6210B916",0x16(22)
25.328,2210B1,"6210B100",0x00(0)
25.414,2210C1,"6210C133",0x33(51)
25.466,2210B4,"6210B424",0x24(36)
26.504,2210A8,"",ERR
26.650,2210B0,"6210A841STOPPED",ERR
26.838,2210B9,"6210B914",0x14(20)
27.702,2210D2,"6210D26C",0x6C(108)
27.758,221093,"62109304",0x04(4)
27.816,221095,"62109520",0x20(32)
28.471,2210A8,"6210A841",0x41(65)
28.630,2210B0,"6210B027",0x27(39)
