elapsed_s,pid,raw,bytes
1.219,2210A8,"6210A846",0x46(70)
1.293,2210B0,"6210B027",0x27(39)
1.365,2210B9,"6210B915",0x15(21)
1.860,2210D2,"6210D275",0x75(117)
1.918,221154,"7F2231",ERR
3.144,2210A8,"6210A800",0x00(0)
3.188,2210B0,"6210B027",0x27(39)
3.251,2210B9,"6210B915",0x15(21)
4.052,2210A8,"6210A846",0x46(70)
4.244,2210B0,"6210B027",0x27(39)
4.470,2210B9,"6210B915",0x15(21)
4.714,2210B1,"6210B100",0x00(0)
4.774,2210C1,"6210C12D",0x2D(45)
4.830,2210B4,"6210B41D",0x1D(29)
5.517,2210A8,"6210A800",0x00(0)
5.573,2210B0,"6210B027",0x27(39)
5.627,2210B9,"6210B915",0x15(21)
6.428,2210D2,"6210D275",0x75(117)
6.478,221154,"7F2231",ERR
7.213,2210A8,"6210A800",0x00(0)
7.261,2210B0,"6210B027",0x27(39)
7.315,2210B9,"6210B915",0x15(21)
8.378,2210A8,"6210A842",0x42(66)
8.428,2210B0,"6210B027",0x27(39)
8.473,2210B9,"6210B915",0x15(21)
8.769,2210B1,"6210B100",0x00(0)
8.825,2210C1,"6210C12D",0x2D(45)
8.884,2210B4,"6210B41E",0x1E(30)
9.475,2210A8,"6210A843",0x43(67)
9.556,2210B0,"6210B027",0x27(39)
9.598,2210B9,"6210B915",0x15(21)
10.549,2210D2,"6210D275",0x75(117)
10.608,221154,"7F2231",ERR
11.234,2210A8,"6210A800",0x00(0)
11.279,2210B0,"6210B027",0x27(39)
11.321,2210B9,"6210B915",0x15(21)
12.462,2210A8,"6210A843",0x43(67)
12.509,2210B0,"6210B027",0x27(39)
12.569,2210B9,"6210B915",0x15(21)
13.721,2210A8,"6210A800",0x00(0)
13.801,2210B0,"6210B027",0x27(39)
13.858,2210B9,"6210B914",0x14(20)
13.921,2210B1,"6210B100",0x00(0)
13.967,2210C1,"6210C12E",0x2E(46)
14.019,2210B4,"6210B424",0x24(36)
14.788,2210A8,"6210A846",0x46(70)
14.848,2210B0,"6210B027",0x27(39)
14.906,2210B9,"6210B915",0x15(21)
15.680,2210D2,"6210D275",0x75(117)
15.724,221154,"7F2231",ERR
16.587,2210A8,"6210A844",0x44(68)
16.648,2210B0,"6210B027",0x27(39)
16.696,2210B9,"6210B915",0x15(21)
17.735,2210A8,"6210A800",0x00(0)
17.784,2210B0,"6210B027",0x27(39)
17.834,2210B9,"6210B915",0x15(21)
18.051,2210B1,"6210B109",0x09(9)
18.109,2210C1,"6210C126",0x26(38)
18.155,2210B4,"6210B423",0x23(35)
